Model,Accuracy,Precision,Recall,F1-Score
SVM (Task Classifier),0.9620253164556962,0.9640133073677376,0.9620253164556962,0.9618251398292611
XGBoost (Task Classifier),0.9556962025316456,0.9516535035522378,0.9556962025316456,0.9523681119164723
